status;site_name;street;zip_code;city;country;country_code;uf;latitude;longitude;operator;verified_for_trucks;green_certified;lots_partner;restrooms;food;wifi;card_terminal;truck_parking;showers;truck_wash;google_maps_url;date_when_added_to_list;source;comments;accuracy_score;identification_document
200;AUTO POSTO CAMPOMAR LTDA;RODOVIA AMARAL PEIXOTO,  SN;28890001;RIO DAS OSTRAS;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;89;02968516000150
200;AUTO POSTO ESPACIAL LTDA;RODOVIA ROD BR 304, KM 295, DIST. IND. IV - DIM IV,  S/N;59286400;MACAIBA;Brazil;BR;RN;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;24187833000171
200;POSTO MONTE BELO II - COMERCIO DE COMBUSTIVEIS LTDA;" BR 304, KM 05  - QUADRA  - R,  S/N";59280000;MACAIBA;Brazil;BR;RN;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;04069473000104
200;POSTO DE GASOLINA RENAZA DE MAGE LTDA;RODOVIA RIO-TERESOPOLIS,  16.886;25900001;MAGE;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03381699000175
200;POSTOS EMAUS COMERCIO E SERVICOS LTDA;RODOVIA BR 101,  1999;59150000;PARNAMIRIM;Brazil;BR;RN;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03979385000179
200;POSTO PONTA D AGUA LTDA;ESTRADA AMARAL PEIXOTO,  S/N;28940090;SAO PEDRO DA ALDEIA;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;03242460000114
200;COMERCIAL MINAS GRILL LTDA.;RODOVIA BR 381,  S/N;37264000;RIBEIRAO VERMELHO;Brazil;BR;MG;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;02553038000117
200;POSTO UIRAPURU LTDA;RODOVIA RODOVIA JUIZ DE FORA/UBA, S/N, KM 103,  S/N;36500000;UBA;Brazil;BR;MG;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;17759721000182
200;POSTO, RESTAURANTE E LANCHONETE FR BRANCO LTDA;RODOVIA BR 101,  S/N;24800000;ITABORAI;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;04587577000100
200;MOTOGAS INDUSTRIA DE COMPRESSAO E COMERCIO DE GAS NATURAL LTDA;" LOC  BR 230 KM 31,  S/N";58309602;BAYEUX;Brazil;BR;PB;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;01420327000185
200;POSTO MARACAJA LTDA;RODOVIA PE 90,  S/N;55750000;SURUBIM;Brazil;BR;PE;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;24336166000141
200;POSTO LAGOMAR DE MACAE LTDA;RODOVIA RJ-106 KM 184 ROD.AMARAL PEIXOTO,  S/N;27970020;MACAE;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;02453614000154
200;POSTO KM 13 DA DUTRA LTDA;RODOVIA PRESIDENTE DUTRA,  13006;26010003;NOVA IGUACU;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;82;00118442000137
200;AUTO POSTO REPUBLICA JULIANA LTDA;RODOVIA SC 436,  SN;88790000;LAGUNA;Brazil;BR;SC;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;81;95788949000104
200;AUTO POSTO MATE AMARGO LTDA;RODOVIA PRESIDENTE DUTRA,  SN;27534010;RESENDE;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;100;29178001000102
200;AUTO POSTO AMIZADE LTDA;RODOVIA BR 232,  S/N;55150000;BELO JARDIM;Brazil;BR;PE;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;24092009000138
200;POSTO PONTE ACU LTDA;RODOVIA BR 101 KM 112,  SN;88375000;NAVEGANTES;Brazil;BR;SC;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;84311190000158
200;POSTO PARQUE DO BOSQUE LTDA.;RODOVIA BR-376,  24123;83090650;SAO JOSE DOS PINHAIS;Brazil;BR;PR;;;POTENCIAL;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;02505963000172
200;PETROCAL PETROLEO CAVALCANTI LIMITADA;RODOVIA BR 232 KM 37/38,  S/N;55602000;VITORIA DE SANTO ANTAO;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;12781233000824
200;POSTO ABREU DOIS LTDA;RODOVIA BR 101 KM 303,  S/N;24461000;SAO GONCALO;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;04991379000108
200;POSTO FAZENDA BOSQUE ENCANTADO LTDA;ESTRADA SERRA MAR,  S/N;28890001;RIO DAS OSTRAS;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;02836446000186
200;GERANIUS POSTO DE SERVICOS E ARTEZANATOS LTDA;RODOVIA GOVERNADOR MARIO COVAS,  S/N;24809234;ITABORAI;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28218741000162
200;TAPAJOS PRODUTOS DE PETROLEO LTDA;RODOVIA BR 408,  S/N;55800000;NAZARE DA MATA;Brazil;BR;PE;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;08035784000103
200;PETROCAL PETROLEO CAVALCANTI LIMITADA;RODOVIA BR 101 SUL,  S/N;50790900;RECIFE;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;12781233000310
200;POSTO RIO SAO PAULO LTDA;RODOVIA PRESIDENTE DUTRA,  5130;25565350;SAO JOAO DE MERITI;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;31918576000166
200;COMERCIO DE COMBUSTIVEIS NEVOEIRO LTDA;RODOVIA RST 287 KM 100,  S/N;96815790;SANTA CRUZ DO SUL;Brazil;BR;RS;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;95425369000314
200;POSTO PINHEIRO LTDA;RODOVIA BR-116,  15800;95059520;CAXIAS DO SUL;Brazil;BR;RS;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;88621073000141
200;POSTO TRIANGULO LTDA;RODOVIA BR 101,  S N;29176798;SERRA;Brazil;BR;ES;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;27023308000109
200;POSTO OLIVEIRA LTDA;ESTRADA BR 101,  49 50;28800000;RIO BONITO;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28621019000174
200;AUTO POSTO CARRETEIRO LTDA;RODOVIA BR 232,  S/N;55630000;POMBOS;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;00462284000138
200;SOBRAL & PALACIO PETROLEO LTDA;RODOVIA DOUTOR MENDEL STEINBRUCH,  3800;61925660;MARACANAU;Brazil;BR;CE;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;07240641002025
200;AUTO POSTO ARACAS LTDA;RODOVIA DARLY SANTOS,  S/N;29104360;VILA VELHA;Brazil;BR;ES;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;30564108000178
200;AUTO POSTO REDE ENERGIA UM LTDA;RODOVIA WASHINGTON LUIZ,,  14040;25230005;DUQUE DE CAXIAS;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;09036231000120
200;POSTO PLANALTO LTDA;RODOVIA BR 101 KM 360,  S/N;88717000;SANGAO;Brazil;BR;SC;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;81;83467357000101
200;AUTO POSTO TREVO DE PRAIA SECA LTDA;RODOVIA AMARAL PEIXOTO,  76.600;28993975;SAQUAREMA;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;04701270000180
200;CDA EMPREENDIMENTOS LTDA;RODOVIA BR 104 AL. KM 86,  SN;57100000;RIO LARGO;Brazil;BR;AL;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;12486809000405
200;PLANALTO COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA;RODOVIA BR 230 KM 41,  S/N;58301645;SANTA RITA;Brazil;BR;PB;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;14547859000120
200;ECORODO BR 040 COMBUSTIVEIS LTDA;RODOVIA BR 040,  SN;25725650;PETROPOLIS;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;13672382000141
200;AUTO POSTO PACHECO LTDA;RODOVIA BR-116,  22730;81690500;CURITIBA;Brazil;BR;PR;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;22310597000103
200;AUTO POSTO PINHAIS LTDA;RODOVIA DEPUTADO JOAO LEOPOLDO JACOMEL,  12351;83331330;PINHAIS;Brazil;BR;PR;;;RODOIL;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;23797796000150
200;UNIPOSTO DERIVADOS DE PETROLEO LTDA;RODOVIA ENGENHEIRO FABIANO VIVACQUA,  2114;29316258;CACHOEIRO DE ITAPEMIRIM;Brazil;BR;ES;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;39281274000131
200;POSTO MIME S.A.;RODOVIA BR 470,  1755;89080001;INDAIAL;Brazil;BR;SC;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;81;83488882002661
200;F. G. FRATELLI COMERCIAL DE COMBUSTIVEIS LTDA;RODOVIA LUIZ ROSSO,  1124;88803470;CRICIUMA;Brazil;BR;SC;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;81;09517479000455
200;POSTO SIM LTDA;RODOVIA DOUTOR MENDEL STEINBRUCH,  14489;61934000;MARACANAU;Brazil;BR;CE;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;04369988000545
200;POSTO MIME S.A.;RODOVIA BR 470  INGO HERING,  5555;88371890;NAVEGANTES;Brazil;BR;SC;;;RAIZEN MIME;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;83488882005504
200;CAXIAS PARQUE AUTO POSTO LTDA;RODOVIA WASHINGTON LUIZ,  1335;25085008;DUQUE DE CAXIAS;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;27905921000150
200;RONI COMERCIO DE COMBUSTIVEIS LTDA;RODOVIA BR-101,  S/N;45601320;ITABUNA;Brazil;BR;BA;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;22036844000125
200;AUTO POSTO LUAR DA RIO SANTOS I LTDA;ESTRADA DO GANDU ESQ C/BR101,  SN;23560150;RIO DE JANEIRO;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;11103499000189
200;AUTO POSTO MONTEIROS DE CACHOEIRAS LTDA;RODOVIA RJ 122,  S/N;28680000;CACHOEIRAS DE MACACU;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;22868306000105
200;POSTO DE GASOLINA CIDADE DO PORTO LTDA;RODOVIA RIO SANTOS,  S/N;23815550;ITAGUAI;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;10317382000135
200;POSTO DE COMBUSTIVEIS PRIMAVERA LTDA;RODOVIA BR-116,  1780;93340215;NOVO HAMBURGO;Brazil;BR;RS;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;32293523000160
200;SUPER GNV COMERCIO E SERVICOS LTDA;RODOVIA JOAO LEOPOLDO JACOMEL,  12610;83323410;PINHAIS;Brazil;BR;PR;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28964056000185
200;POSTO CAMPEAO NACIONAL LTDA;RODOVIA BR 408,  SN;55825000;PAUDALHO;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;19213585000156
200;POSTO PARADA ANGELICA LTDA;AVENIDA AUTOMOVEL CLUB,  SN;25272405;DUQUE DE CAXIAS;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;30545109000175
200;POSTO BELLAS SAO PEDRO DA ALDEIA LTDA;RODOVIA RJ 140,  S/N;28943042;SAO PEDRO DA ALDEIA;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28683355000141
200;IT COMERCIAL DE COMBUSTIVEIS DOMINGOS LTDA;RODOVIA BR 304,  2673;59513000;ITAJA;Brazil;BR;RN;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;40943234000197
200;POSTO MIME S.A.;RODOVIA BR 470  INGO HERING,  S/N;88371890;NAVEGANTES;Brazil;BR;SC;;;RAIZEN MIME;true;;false;;;;;;;;;2025-10-30;ANP API v1;;84;83488882005334
200;CARRETEIRO REVENDEDOR DE PETROLEO E DERIVADOS LTDA;RODOVIA PRESIDENTE DUTRA,  S/N;7034000;GUARULHOS;Brazil;BR;SP;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;49084890000156
200;VILELA SA PETROLEO LTDA;ESTRADA RN 160,  SN;59297396;SAO GONCALO DO AMARANTE;Brazil;BR;RN;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;38422657000110
200;POSTO SAPATAO COMERCIO DE COMBUSTIVEIS LTDA;RODOVIA BR-116,  7455;93351155;NOVO HAMBURGO;Brazil;BR;RS;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;43510250000184
200;J A D ARAUJO & CIA LTDA;RODOVIA BR 232,  SN;55140000;TACAIMBO;Brazil;BR;PE;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;08072308000669
200;SIM REDE DE POSTOS LTDA;RODOVIA BR-116,  833;93270000;ESTEIO;Brazil;BR;RS;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;07473735018048
200;AUTO POSTO MATOZINHOS LTDA;RODOVIA MG 424,  SN;35720000;MATOZINHOS;Brazil;BR;MG;;;ALE;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;17284472000116
200;BARRIGAO COMERCIAL LTDA;RODOVIA BR-116, KM 594, LADO ESQUERDO,  01;36905000;MANHUACU;Brazil;BR;MG;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;22265797000191
200;POSTO DE GASOLINA PRESIDENTE LTDA;RODOVIA PRESIDENTE DUTRA,  630;21240001;RIO DE JANEIRO;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;33396839000140
200;POSTO SAO CRISTOVAO LTDA;RODOVIA WASHINGTON LUIZ,  14450;25055009;DUQUE DE CAXIAS;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;29320058000102
200;COMERCIAL DE COMBUSTIVEIS MARTINS LTDA;RODOVIA BR 324,  S/N;44230000;AMELIA RODRIGUES;Brazil;BR;BA;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;85;16496705000262
200;POSTO EMBAIXADOR LTDA;RODOVIA PRESIDENTE DUTRA,  SN;27534010;RESENDE;Brazil;BR;RJ;;;BANDEIRA BRANCA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;100;31465255000153
200;AUTO POSTO PISCA PISCA LTDA;RODOVIA AMARAL PEIXOTO,  S/N;28970000;ARARUAMA;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;28529501000189
200;COMERCIAL H KARL ALLERS LTDA;RODOVIA PRESIDENTE DUTRA,  S/N;27175000;PIRAI;Brazil;BR;RJ;;;IPIRANGA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;88;31423015000196
200;POSTO ESTRELA DO MAR LTDA;" PR DA ALDEIA,  SN";28940090;SAO PEDRO DA ALDEIA;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;31192719000103
200;POSTO IMBOASSICA COMERCIO E SERVICOS LTDA;RODOVIA AMARAL PEIXOTO,  S/N;27932050;MACAE;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;31341944000156
200;GALOP GASOLINA LUBRIFICANTES E PECAS LTDA;RODOVIA PRESIDENTE DUTRA,  KM4;25586140;SAO JOAO DE MERITI;Brazil;BR;RJ;;;VIBRA;true;;false;;;;;;;;;2025-10-30;ANP API v1;;87;31953466000135
200;POSTO DE GASOLINA ELEFANTINHO LTDA;RODOVIA RJ 140,  500;28940090;SAO PEDRO DA ALDEIA;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28698652000160
200;POSTO DAS DUNAS DE CABO FRIO LTDA;RODOVIA ESTADUAL RJ 140,  SN;28922150;CABO FRIO;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28746667000157
200;POSTO CARRETEIRO LTDA;RODOVIA WASHINGTON LUIZ,  21562;25251745;DUQUE DE CAXIAS;Brazil;BR;RJ;;;RAIZEN;true;;false;;;;;;;;;2025-10-30;ANP API v1;;86;28752913000183
